Education,Income,Kidhome,Teenhome,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Spent,Living_With,Children,Family_Size,Is_Parent,Age_Group,Total_Online_Purchases,Total_Store_Purchases
Graduate,58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,68,1617,Alone,0,1,0,"(60, 70]",18,4
Graduate,46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,71,27,Alone,2,3,1,"(70, 80]",2,2
Graduate,71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,60,776,Partner,0,2,0,"(50, 60]",10,10
Graduate,26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,41,53,Partner,1,3,1,"(40, 50]",2,4
Postgraduate,58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,44,422,Partner,1,3,1,"(40, 50]",8,6
Postgraduate,62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,58,716,Partner,1,3,1,"(50, 60]",10,10
Graduate,55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,54,590,Alone,1,2,1,"(50, 60]",10,7
Postgraduate,33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,40,169,Partner,1,3,1,"(30, 40]",4,4
Postgraduate,30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,51,46,Partner,1,3,1,"(50, 60]",3,2
Postgraduate,5648.0,1,1,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,75,49,Partner,2,4,1,"(70, 80]",1,0
Graduate,52720.37365591398,1,0,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,42,19,Partner,1,3,1,"(40, 50]",1,2
